ID,Name,Category,Cooldown,Description
3562,Sidewinder,Ability,600,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> If the target is suffering from a <If(GreaterThanOrEqualTo(PlayerParameter(72),64))><If(Equal(PlayerParameter(68),23))><Color(-154)>Caustic Bite</Color> or <Color(-154)>Stormbite</Color><Else/><Color(-154)>Venomous Bite</Color> or <Color(-154)>Windbite</Color></If><Else/><Color(-154)>Venomous Bite</Color> or <Color(-154)>Windbite</Color></If> effect inflicted by you, <Color(-34022)>Sidewinder</Color> potency is increased to 175 for one effect, or 260 for both"
3563,Armor Crush,Weaponskill,25,"Delivers an attack with a potency of 100.
160 when executed from a target's flank.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Gust Slash</Color><br><Color(52258)>Combo Potency:</Color> 240<br><Color(52258)>Flank Combo Potency:</Color> 300<br><Color(52258)>Combo Bonus:</Color> Extends <Color(-154)>Huton</Color> duration by 30s to a maximum of 70s"
3564,Shadewalker,Ability,1200,"Grants target party member the effect of <Color(-154)>Silhouette</Color>, diverting to target 80% of all enmity generated by caster. No effect when target is under the effect of <Color(-154)>Shadewalker</Color>.<br><Color(52258)>Duration:</Color> 15s"
3565,Smoke Screen,Ability,1800,"Creates a wall of smoke, reducing enmity generation of a single party member.<br><Color(52258)>Duration:</Color> 20s"
3566,Dream Within a Dream,Ability,600,"Delivers a threefold attack, each hit with a potency of 150."
3567,Duality,Ability,900,Doubles the number of strikes for a single-target weaponskill. Combo bonuses and additional effects will only be applied once.<br><Color(52258)>Duration:</Color> 10s
3568,Stone III,Spell,25,Deals earth damage with a potency of 210.
3569,Asylum,Ability,900,"Envelops a designated area in a veil of succor, healing any party members who enter.<br><Color(52258)>Cure Potency:</Color> 100<br><Color(52258)>Duration:</Color> 24s"
3570,Tetragrammaton,Ability,600,Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 700
3571,Assize,Ability,600,Deals unaspected damage to all nearby enemies with a potency of 300.<br><Color(52258)>Additional Effect:</Color> Restores own HP and the HP of nearby party members<br><Color(52258)>Cure Potency:</Color> 300<br><Color(52258)>Additional Effect:</Color> Restores 10% of own MP
3572,Aero III,Spell,25,Deals wind damage with a potency of 50 to target and all enemies nearby it.<br><Color(52258)>Additional Effect:</Color> Wind damage over time<br><Color(52258)>Potency:</Color> 40<br><Color(52258)>Duration:</Color> 24s
3573,Ley Lines,Ability,900,"Connects naturally occurring ley lines to create a circle of power which, while standing within it, reduces spell cast time and recast time, and auto-attack delay by 15%.<br><Color(52258)>Duration:</Color> 30s"
3574,Sharpcast,Ability,600,"Ensures the next <Color(-34022)>Scathe</Color>, <Color(-34022)>Fire</Color>, or <Color(-34022)>Thunder</Color> spell cast will, for the first hit, trigger <Color(-34022)>Scathe</Color>'s additional effect, <Color(-154)>Firestarter</Color>, or <Color(-154)>Thundercloud</Color> respectively.<br><Color(52258)>Duration:</Color> 15s"
3575,Enochian,Ability,300,"Increases magic damage dealt by 5%.<If(Equal(PlayerParameter(68),25))><If(GreaterThanOrEqualTo(PlayerParameter(72),58))><If(GreaterThanOrEqualTo(PlayerParameter(72),60))> Also allows the casting of <Color(-34022)>Blizzard IV</Color> and <Color(-34022)>Fire IV</Color>.<Else/> Also allows the casting of <Color(-34022)>Blizzard IV</Color>.</If><Else/></If><Else/></If><br><If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),25))><Color(52258)>Additional Effect: </Color> Grants <Color(-154)>Polyglot</Color> if <Color(-154)>Enochian</Color> is maintained for 30s<br><Else/></If><Else/></If>Can only be executed while under the effect of <Color(-154)>Astral Fire</Color> or <Color(-154)>Umbral Ice</Color>. Effect is canceled if <Color(-154)>Astral Fire</Color> or <Color(-154)>Umbral Ice</Color> end."
3576,Blizzard IV,Spell,25,"Deals ice damage with a potency of 260.<br><Color(52258)>Additional Effect:</Color> Grants 3 <Color(-154)>Umbral Hearts</Color><br><Color(52258)>Umbral Heart Bonus:</Color> Nullifies <Color(-154)>Astral Fire</Color>'s MP cost increase for <Color(-34022)>Fire<Color(-34022)> spells<If(GreaterThanOrEqualTo(PlayerParameter(72),68))><If(Equal(PlayerParameter(68),25))> and reduces MP cost for <Color(-34022)>Flare</Color> by two-thirds<br><Else/></If><Else/></If>Can only be executed while under the effect of both <Color(-154)>Enochian</Color> and <Color(-154)>Umbral Ice</Color>."
3577,Fire IV,Spell,25,Deals fire damage with a potency of 260.<br>Can only be executed while under the effect of both <Color(-154)>Enochian</Color> and <Color(-154)>Astral Fire</Color>.
3578,Painflare,Ability,50,"Deals unaspected damage with a potency of 200 to target and all enemies nearby it.<If(GreaterThanOrEqualTo(PlayerParameter(72),58))><If(Equal(PlayerParameter(68),27))><br><Color(52258)>Additional Effect:</Color> <Color(-154)>Aethertrail Attunement</Color><Else/></If><Else/></If><br><Color(52258)>Aetherflow Gauge Cost:</Color> 1"
3579,Ruin III,Spell,25,"Deals unaspected damage with a potency of 150.<If(GreaterThanOrEqualTo(PlayerParameter(72),58))><If(Equal(PlayerParameter(68),27))><br>MP cost reduced while in <Color(-154)>Dreadwyrm Trance</Color>.<Else/></If><Else/></If>"
3580,Tri-disaster,Ability,600,"Inflicts target with <If(GreaterThanOrEqualTo(PlayerParameter(72),66))><If(Equal(PlayerParameter(68),27))><Color(-154)>Bio III</Color> and <Color(-154)>Miasma III</Color><Else/><Color(-154)>Bio II</Color> and <Color(-154)>Miasma</Color></If><Else/><Color(-154)>Bio II</Color> and <Color(-154)>Miasma</Color></If>.<br><Color(52258)>Additional Effect:</Color> Inflicts target with <Color(-154)>Ruination</Color>, increasing the potency of <Color(-34022)>Ruin</Color> spells used against target by 20<br><Color(52258)>Duration:</Color> 15s"
3581,Dreadwyrm Trance,Ability,200,"Increases magic damage dealt by 10% while lowering the MP cost of <Color(-34022)>Ruin III<Color(-34022)>.<br><Color(52258)>Duration:</Color> 16s<br><Color(52258)>Additional Effect:</Color> Resets <Color(-34022)>Tri-disaster</Color> recast timer<br><If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),27))>Increases <Color(-34022)>Trance Gauge</Color> when effect ends.<br><Else/></If><Else/></If>Can only be executed when <Color(-154)>Aethertrail Attunement</Color> stack is 3<If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),27))> and Demi-Bahamut is not summoned.<Else/>.</If><Else/>.</If><br><Color(-154)>Aethertrail Attunement</Color> is achieved when an <Color(-154)>Aetherflow</Color> action used by you inflicts an effect on a target.<br>Cannot execute <Color(-34022)>Aetherflow</Color> while under the effect of <Color(-154)>Dreadwyrm Trance</Color>."
3582,Deathflare,Ability,150,"Deals unaspected damage to a target and all enemies nearby it with a potency of 400 for the first enemy, 10% less for the second, 20% less for the third, 30% less for the fourth, 40% less for the fifth, and 50% less for all remaining enemies.<br>Can only be executed while in <Color(-154)>Dreadwyrm Trance</Color>. <Color(-154)>Dreadwyrm Trance</Color> fades upon execution."
3583,Indomitability,Ability,300,"Restores own HP and the HP of all nearby party members.<br><Color(52258)>Cure Potency:</Color> 400<br><If(GreaterThanOrEqualTo(PlayerParameter(72),70))><If(Equal(PlayerParameter(68),28))><Color(52258)>Additional Effect:</Color> Increases <Color(-34022)>Faerie Gauge</Color> by 10<br><Else/></If><Else/></If><Color(52258)>Aetherflow Gauge Cost:</Color> 1"
3584,Broil,Spell,25,Deals unaspected damage with a potency of 190.
3585,Deployment Tactics,Ability,1200,Extends <Color(-154)>Eye for an Eye</Color> and <Color(-154)>Galvanize</Color> effects cast by you to party members nearby the target.<br><Color(52258)>Duration:</Color> The time remaining on the original target's effects<br>No effect when target is not under the effect of either <Color(-154)>Eye for an Eye</Color> or <Color(-154)>Galvanize</Color>.
3586,Emergency Tactics,Ability,300,Transforms the next <Color(-154)>Galvanize</Color> status into HP recovery equaling the amount of damage reduction intended for the barrier.<br><Color(52258)>Duration:</Color> 15s
3587,Dissipation,Ability,1800,Orders your pet away while granting you a full <Color(-154)>Aetherflow</Color> stack. Also increases healing magic potency by 20%.<br><Color(52258)>Duration:</Color> 30s<br><Color(-34022)>Summon</Color> or <Color(-34022)>Summon II</Color> cannot be executed while under the effect of <Color(-154)>Dissipation</Color>.
3590,Draw,Ability,300,"Draw a card (arcanum) from your divining deck. Execute command again to use the arcanum drawn. Only one arcanum can be drawn at a time.<br><Color(52258)>Duration:</Color> 30s<br>Recast timer cooldown will begin once the drawn arcanum is read, or the <Color(-154)>Draw</Color> timer expires."
3591,Royal Road,Ability,150,"Return the currently drawn arcanum back to your deck to enhance the effect of the next card.<br><Color(52258)>Bole and Balance:</Color> 150% potency<br><Color(52258)>Arrow and Spear:</Color> Doubled duration<br><Color(52258)>Ewer and Spire:</Color> 50% potency, extends effect to nearby targets"
3592,Spread,Ability,300,Add the currently drawn arcanum to your spread where it is kept indefinitely. Execute again to use the card.<br>Recast timer cooldown will begin once the held card is read.
3593,Redraw,Ability,300,Draw a different arcanum from your deck.
3594,Benefic,Spell,25,"Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 400<If(GreaterThanOrEqualTo(PlayerParameter(72),36))><If(Equal(PlayerParameter(68),33))><br><Color(52258)>Additional Effect:</Color> 15% chance next <Color(-34022)>Benefic II</Color> will restore critical HP<br><Color(52258)>Duration:</Color> 15s<Else/></If><Else/></If>"
3595,Aspected Benefic,Spell,25,"Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 200<br><Color(52258)>Diurnal Sect Effect:</Color> <Color(-154)>Regen</Color><br><Color(52258)>Cure Potency:</Color> 140<br><Color(52258)>Duration:</Color> 18s<br>Effect cannot be stacked.<If(GreaterThanOrEqualTo(PlayerParameter(72),50))><If(Equal(PlayerParameter(68),33))><br><Color(52258)>Nocturnal Sect Effect:</Color> Erects a magicked barrier which nullifies damage equaling 250% the amount of HP restored<br><Color(52258)>Duration:</Color> 30s<br>Effect cannot be stacked with <Color(-154)>Adloquium</Color>.<Else/></If><Else/></If>"
3596,Malefic,Spell,25,Deals unaspected damage with a potency of 150.
3597,Stella,Spell,25,Deals unaspected damage with a potency of 100.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Heavy<Color(-154)> +40%<br><Color(52258)>Duration:</Color> 20s (PvP 8s)
3598,Malefic II,Spell,25,Deals unaspected damage with a potency of 180.
3599,Combust,Spell,25,Deals unaspected damage over time.<br><Color(52258)>Potency:</Color> 40<br><Color(52258)>Duration:</Color> 18s
3600,Helios,Spell,25,Restores own HP and the HP of all nearby party members.<br><Color(52258)>Cure Potency:</Color> 300
3601,Aspected Helios,Spell,25,"Restores own HP and the HP of all nearby party members.<If(GreaterThanOrEqualTo(PlayerParameter(72),50))><If(Equal(PlayerParameter(68),33))><br><Color(52258)>Cure Potency:</Color> 200<br><Color(52258)>Nocturnal Sect Cure Potency:</Color> 150<br><Else/><br><Color(52258)>Cure Potency:</Color> 200<br></If><Else/><br><Color(52258)>Cure Potency:</Color> 200<br></If><Color(52258)>Diurnal Sect Effect:</Color> <Color(-154)>Regen</Color><br><Color(52258)>Cure Potency:</Color> 40<br><Color(52258)>Duration:</Color> 30s<br>Effect cannot be stacked.<If(GreaterThanOrEqualTo(PlayerParameter(72),50))><If(Equal(PlayerParameter(68),33))><br><Color(52258)>Nocturnal Sect Effect:</Color> Erects a magicked barrier which nullifies damage equaling 150% of the amount of HP restored<br><Color(52258)>Duration:</Color> 30s<br>Effect cannot be stacked with <Color(-154)>Adloquium</Color>.<Else/></If><Else/></If>"
3602,Exalted Detriment,Spell,25,Removes a single detrimental effect from target.
3603,Ascend,Spell,25,Resurrects target to a weakened state.
3604,Diurnal Sect,Ability,50,"Increases healing magic potency by 10% and adds <Color(-154)>Regen</Color> to certain actions. Also reduces enmity generation.<If(GreaterThanOrEqualTo(PlayerParameter(72),50))><If(Equal(PlayerParameter(68),33))><br>Cannot be used with <Color(-34022)>Nocturnal Sect</Color>.<br>Shares a recast timer with <Color(-34022)>Nocturnal Sect</Color>.<br>Effect cannot be removed during battle.<Else/></If><Else/></If><br>Effect ends upon reuse."
3605,Nocturnal Sect,Ability,50,Increases healing magic potency by 15% while adding a damage nullifying barrier to certain actions. Also reduces enmity generation.<br>Cannot be used with <Color(-34022)>Diurnal Sect</Color>.<br>Shares a recast timer with <Color(-34022)>Diurnal Sect</Color>.<br>Effect cannot be removed during battle.<br>Effect ends upon reuse.
3606,Lightspeed,Ability,1500,"Reduces MP cost for spells by 25% and cast times for spells by 2.5 seconds, while reducing attack magic potency by 25%.<br><Color(52258)>Duration:</Color> 10s"
3607,Luminiferous Aether,Ability,1200,"Reduces enmity generation.<br><Color(52258)>Additional Effect:</Color> Refresh<br><Color(52258)>Refresh Potency:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),48))><If(Equal(PlayerParameter(68),33))>80<Else/>60</If><Else/>60</If><br><Color(52258)>Duration:</Color> 24s"
3608,Combust II,Spell,25,Deals unaspected damage over time.<br><Color(52258)>Potency:</Color> 50<br><Color(52258)>Duration:</Color> 30s
3609,Disable,Ability,600,"Reduces the potency of target's attacks by <If(GreaterThanOrEqualTo(PlayerParameter(72),44))><If(Equal(PlayerParameter(68),33))>10<Else/>5</If><Else/>5</If>%.<br><Color(52258)>Duration:</Color> 6s"
3610,Benefic II,Spell,25,Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 650
3611,Time Dilation,Ability,900,Extends the duration of beneficial effects you cast on a party member by 15 seconds.
3612,Synastry,Ability,900,"Generate an aetheric bond with target party member. Each time you cast a single-target healing spell on yourself or a party member, the party member with whom you have the bond will also recover HP equaling 40% of the original spell.<br><Color(52258)>Duration:</Color> 20s"
3613,Collective Unconscious,Ability,900,"Creates a wheel of fortune around the caster, granting <Color(-154)>Regen</Color> and 10% damage reduction for any party member who enters.<br>Can only be executed when a <Color(-154)>Sect</Color> is active. Auto-attack ends upon execution. Effect ends upon using another action or moving.<br><Color(52258)>Cure Potency:</Color> 150<br><Color(52258)>Duration:</Color> 15s<br><Color(52258)>Damage Reduction Duration:</Color> 18s"
3614,Essential Dignity,Ability,400,Restores target's HP.<br><Color(52258)>Cure Potency:</Color> 400<br>Potency increases the lower the target's HP.
3615,Gravity,Spell,25,"Deals unaspected damage to a target and all enemies nearby it with a potency of 200 for the first enemy, 10% less for the second, 20% less for the third, 30% less for the fourth, 40% less for the fifth, and 50% less for all remaining enemies."
3616,Celestial Opposition,Ability,1200,Stuns all nearby enemies.<br><Color(52258)>Duration:</Color> 4s<br>Also extends duration of beneficial effects cast on self and party members by 10 seconds.
3617,Hard Slash,Weaponskill,25,Delivers an attack with a potency of 150.
3618,Shadowskin,Ability,900,"Reduces damage taken by <If(GreaterThanOrEqualTo(PlayerParameter(72),14))><If(Equal(PlayerParameter(68),32))>20<Else/>15</If><Else/>15</If>%.<br><Color(52258)>Duration:</Color> 20s"
3619,Spinning Slash,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Hard Slash</Color><br><Color(52258)>Combo Potency:</Color> 220
3620,Scourge,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 40<br><Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),32))><If(Equal(PlayerParameter(68),32))>30<Else/>18</If><Else/>18</If>s"
3621,Unleash,Spell,25,Deals unaspected damage with a potency of 50 to all nearby enemies.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br>
3622,Low Blow,Ability,250,Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 5s (PvP 3s)<br><Color(52258)>Additional Effect:</Color> 30% chance that next parry will reset the recast timer
3623,Syphon Strike,Weaponskill,25,"Delivers an attack with a potency of 100.<br><If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><Color(52258)>Dark Arts Potency:</Color> 240<br><Else/></If><Else/></If><Color(52258)>Combo Action:</Color> <Color(-34022)>Hard Slash</Color><br><Color(52258)>Combo Potency:</Color> 250<br><If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><Color(52258)>Dark Arts Combo Potency:</Color> 390<br><Else/></If><Else/></If><Color(52258)>Combo Bonus:</Color> Restores MP<br>MP restoration increased while under the effect of <Color(-154)>Grit</Color>.<If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))> <Color(-154)>Dark Arts</Color> fades upon execution.<Else/></If><Else/></If>"
3624,Unmend,Spell,25,Deals unaspected damage with a potency of 150.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Additional Effect:</Color> 30% chance that next <Color(-34022)>Unleash</Color> will cost no MP<br><Color(52258)>Duration:</Color> 15s
3625,Blood Weapon,Ability,400,"Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 10% and converts physical damage dealt into MP, while reducing weaponskill TP cost by 20%.<If(GreaterThanOrEqualTo(PlayerParameter(72),66))><If(Equal(PlayerParameter(68),32))> Also increases <Color(-34022)>Blood Gauge</Color> by 3 each time a physical attack lands.<Else/></If><Else/></If><br><Color(52258)>Duration:</Color> 15s<br>Cannot be used while under the effect of <Color(-154)>Grit</Color>."
3626,Reprisal,Ability,600,Delivers an attack with a potency of 210.<br>Can only be executed immediately after parrying an attack.<br><Color(52258)>Additional Effect:</Color> Lowers target's damage dealt by 10%<br><Color(52258)>Duration:</Color> 20s
3627,Power Slash,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Spinning Slash</Color><br><Color(52258)>Combo Potency:</Color> 300<If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><br><Color(52258)>Dark Arts Combo Effect: </Color>Increased enmity<br><Color(-154)>Dark Arts</Color> fades upon execution.<Else/></If><Else/></If>"
3628,Darkside,Ability,50,Increases damage dealt by 20%. MP regeneration stops during battle and <Color(-154)>Refresh</Color> statuses granted by others have no effect.<br>Effect ends upon reuse.
3629,Grit,Spell,25,"Reduces damage taken by 20%, while reducing damage dealt by 20% and increasing enmity.<br>Effect ends upon reuse."
3630,Dark Dance,Ability,600,"Increases parry rate by <If(GreaterThanOrEqualTo(PlayerParameter(72),44))><If(Equal(PlayerParameter(68),32))>30<Else/>20</If><Else/>20</If>%. Can only be executed while succumbing to the <Color(-154)>Darkside</Color>.<br><Color(52258)>Duration:</Color> 20s<If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><br><Color(52258)>Dark Arts Effect:</Color> Evasion increased by 20%<br><Color(-154)>Dark Arts</Color> fades upon execution.<Else/></If><Else/></If>"
3631,Blood Price,Ability,400,"Restores partial MP when damage is taken.<br><Color(52258)>Duration:</Color> 15s<If(GreaterThanOrEqualTo(PlayerParameter(72),66))><If(Equal(PlayerParameter(68),32))><br><Color(52258)>Additonal Effect:</Color> Increases <Color(-34022)>Blood Gauge</Color> by 1 immediately and another 4 over time while in battle<Else/></If><Else/></If><br>Can only be used while under the effect of <Color(-154)>Grit</Color>."
3632,Souleater,Weaponskill,25,"Delivers an attack with a potency of 100.<br><If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><Color(52258)>Dark Arts Potency:</Color> 240<br><Else/></If><Else/></If><Color(52258)>Combo Action:</Color> <Color(-34022)>Syphon Strike</Color><br><Color(52258)>Combo Potency:</Color> 280<br><If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><Color(52258)>Dark Arts Combo Potency:</Color> 420<br><Color(52258)>Grit Combo Bonus:</Color> Absorbs a portion of damage dealt as HP<br><If(GreaterThanOrEqualTo(PlayerParameter(72),62))><If(Equal(PlayerParameter(68),32))><Color(52258)>Combo Bonus:</Color> Increases <Color(-34022)>Blood Gauge</Color> by 10<br><Else/></If><Else/></If><Color(-154)>Dark Arts</Color> fades upon execution.<Else/><Color(52258)>Grit Combo Bonus:</Color> Absorbs 10% of damage dealt as HP</If><Else/><Color(52258)>Grit Combo Bonus:</Color> Absorbs 10% of damage dealt as HP</If>"
3633,Dark Passenger,Ability,300,"Deals unaspected damage with a potency of 100 to all enemies in a straight line before you.<br>Can only be executed when succumbing to the <Color(-154)>Darkside</Color>.<If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><br><Color(52258)>Dark Arts Potency:</Color> 240<br><Color(52258)>Dark Arts Effect:</Color> <Color(-154)>Blind</Color><br><Color(52258)>Duration:</Color> 15s<br><Color(-154)>Dark Arts</Color> fades upon execution.<Else/></If><Else/></If>"
3634,Dark Mind,Ability,600,"Reduces magic vulnerability by 15%.<br>Can only be executed when succumbing to the <Color(-154)>Darkside</Color>.<br><Color(52258)>Duration:</Color> 10s<If(GreaterThanOrEqualTo(PlayerParameter(72),45))><If(Equal(PlayerParameter(68),32))><br><Color(52258)>Dark Arts Effect:</Color> Increases magic vulnerability reduction to 30%<br><Color(-154)>Dark Arts</Color> fades upon execution.<Else/></If><Else/></If>"
3635,Dark Arts,Ability,20,"Attune with the darkness within you, increasing the potency of several actions. Can only be executed when succumbing to the <Color(-154)>Darkside</Color>. Effect fades if <Color(-154)>Darkside</Color> is canceled.<br><Color(52258)>Duration:</Color> 10s"
3636,Shadow Wall,Ability,1800,Reduces damage taken by 30%.<br><Color(52258)>Duration:</Color> 10s
3637,Delirium,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Syphon Strike</Color><br><Color(52258)>Combo Potency:</Color> 280<br><Color(52258)>Combo Bonus:</Color> Reduces target's INT by 10%<br><Color(52258)>Duration:</Color> 20s<br>Effect does not stack with <Color(-154)>Dragon Kick</Color>.
3638,Living Dead,Ability,3000,"Grants the effect of <Color(-154)>Living Dead</Color>. When HP is reduced to 0 while under the effect of <Color(-154)>Living Dead</Color>, instead of becoming KO'd, your status will change to <Color(-154)>Walking Dead</Color>.<br><Color(52258)>Living Dead Duration:</Color> 10s<br>While under the effect of <Color(-154)>Walking Dead</Color>, most attacks will not lower your HP below 1. If, before the <Color(-154)>Walking Dead</Color> timer runs out, HP is 100% restored, the effect will fade. If 100% is not restored, you will be KO'd.<br><Color(52258)>Walking Dead Duration:</Color> 10s"
3639,Salted Earth,Ability,450,"Creates a patch of salted earth, dealing unaspected damage with a potency of 75 to any enemies who enter.<br><Color(52258)>Duration:</Color> 21s<If(GreaterThanOrEqualTo(PlayerParameter(72),62))><If(Equal(PlayerParameter(68),32))><br><Color(52258)>Additional Effect:</Color> Increases <Color(-34022)>Blood Gauge</Color> by 1<Else/></If><Else/></If>"
3640,Plunge,Ability,300,Delivers a jumping attack with a potency of 200.<br>Cannot be executed while bound.
3641,Abyssal Drain,Spell,25,Deals unaspected damage with a potency of 120 to target and all enemies nearby it.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Dark Arts Effect:</Color> Absorbs a portion of damage dealt as HP<br><Color(-154)>Dark Arts</Color> fades upon execution.
3642,Sole Survivor,Ability,1200,"Marks target with the status <Color(-154)>Another Victim</Color>. If that target should be KO'd in battle, 20% of your maximum HP and MP will be restored.<br><Color(52258)>Duration:</Color> 15s"
3643,Carve and Spit,Ability,600,Delivers a threefold attack with a potency of 100. Also restores MP if used while not under the effect of <Color(-154)>Dark Arts</Color>.<br><Color(52258)>Dark Arts Potency:</Color> 450<br><Color(-154)>Dark Arts</Color> fades upon execution.
4062,Heavydoom,Mount,25,Fires a pressurized round of ammunition. Has no effect against oversized targets.
4063,Cracklyplume,Mount,25,Fires a hypercharged round of ammunition capable of electrocuting living targets. Has no effect on machina.
4064,Meltyspume,Mount,25,Fires a round of armor-piercing ammunition.
4065,Stickyloom,Mount,25,Activates electromagnets capable of drawing in a target.
4067,Recharge,Mount,30,Saps a target of its electrical charge.
4072,Clear Vision,DoL Ability,0,Increases the chance of obtaining items on your next gathering attempt by 15%. Does not apply to items at 0%.
4073,Bountiful Yield,DoL Ability,0,Increases the number of items obtained on your next gathering attempt by one.
4074,Collector's Glove,Ability,0,Utilize your expansive knowledge of mining to uncover collectables amongst regular items.
4075,Methodical Appraisal,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x1.<br>Increases item wear by 10.<br>Uses one gathering attempt.
4076,Instinctual Appraisal,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x0.8-1.5.<br>Increases item wear by 10.<br>Uses one gathering attempt.
4077,Impulsive Appraisal,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x0.9.<br>Increases item wear by 10.<br><br><Color(52258)>Additional Effect:</Color> 30% chance <Color(-154)>Discerning Eye</Color> activates<br>Uses one gathering attempt.
4078,Discerning Eye,DoL Ability,0,Improves next item rarity increase by 50%.
4079,Utmost Caution,DoL Ability,0,Reduces next item wear increase by 10.
4080,Deep Breath,DoL Ability,0,Nullifies item wear increase for one of the next three appraisal attempts.
4081,Luck of the Mountaineer,DoL Ability,0,Uncovers a gathering node's hidden items. Can only be executed after HQ chain #2.
4082,Dredge,DoL Ability,0,Increases the chance of obtaining an HQ item on your next gathering attempt by 10%. Does not increase chances for items which start at 0%.
4083,Dredge II,DoL Ability,0,Increases the chance of obtaining an HQ item on your next gathering attempt by 20%. Does not increase chances for items which start at 0%.
4084,Single Mind,DoL Ability,0,Execute an appraisal without using a gathering attempt.
4085,Last Ditch,DoL Ability,0,Increases the collectability of an item. Can only be executed when item wear is beyond its maximum.
4086,Flora Mastery,DoL Ability,0,Increases the chance of obtaining items on your next gathering attempt by 15%. Does not apply to items at 0%.
4087,Bountiful Harvest,DoL Ability,0,Increases the number of items obtained on your next gathering attempt by one.
4088,Collector's Glove,Ability,0,Utilize your expansive knowledge of botany to uncover collectables amongst regular items.
4089,Methodical Appraisal,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x1.<br>Increases item wear by 10.<br>Uses one gathering attempt.
4090,Instinctual Appraisal,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x0.8-1.5.<br>Increases item wear by 10.<br>Uses one gathering attempt.
4091,Impulsive Appraisal,DoL Ability,0,Appraise a gathering node for collectables.<br><br>Increases item rarity by <Color(-154)>perception</Color> x0.9.<br>Increases item wear by 10.<br><br><Color(52258)>Additional Effect:</Color> 30% chance <Color(-154)>Discerning Eye</Color> activates<br>Uses one gathering attempt.
4092,Discerning Eye,DoL Ability,0,Improves next item rarity increase by 50%.
4093,Utmost Caution,DoL Ability,0,Reduces next item wear increase by 10.
4094,Deep Breath,DoL Ability,0,Nullifies item wear increase for one of the next three appraisal attempts.
4095,Luck of the Pioneer,DoL Ability,0,Uncovers a gathering node's hidden items. Can only be executed after HQ chain #2.
4096,Prune,DoL Ability,0,Increases the chance of obtaining an HQ item on your next gathering attempt by 10%. Does not increase chances for items which start at 0%.
4097,Prune II,DoL Ability,0,Increases the chance of obtaining an HQ item on your next gathering attempt by 20%. Does not increase chances for items which start at 0%.
4098,Single Mind,DoL Ability,0,Execute an appraisal without using a gathering attempt.
4099,Last Ditch,DoL Ability,0,Increases the collectability of an item. Can only be executed when item wear is beyond its maximum.
4100,Snagging,DoL Ability,0,"Adds extra hooks to the line, making it possible to land normally uncatchable fish and items."
